2017,2,5	10,5,53	10,48,48
2017,2,5	11,46,25	12,26,2
2017,2,5	12,49,31	13,33,59
2017,2,5	15,5,49	15,18,26
2017,2,5	16,8,24	16,29,34
2017,2,5	18,5,25	18,40,40
2017,2,6	7,35,3	8,34,44
2017,2,6	8,34,56	8,48,23
2017,2,6	9,5,42	10,1,36
2017,2,6	10,41,33	11,47,10
2017,2,6	13,3,20	14,13,21
2017,2,6	14,44,53	15,19,23
2017,2,6	15,54,27	16,16,24
2017,2,6	16,43,52	17,21,3
2017,2,6	17,23,53	17,36,7
2017,2,6	17,38,53	18,19,7
2017,2,6	20,18,0	21,16,30
2017,2,6	21,25,10	21,47,38
2017,2,7	7,52,16	9,2,41
2017,2,7	9,19,23	10,11,45
2017,2,7	10,43,17	11,54,24
2017,2,7	12,46,31	13,6,9
2017,2,7	13,43,17	14,36,0
2017,2,7	15,1,58	15,8,39
2017,2,7	15,29,25	16,32,58
2017,2,7	17,2,47	17,49,54
2017,2,7	18,4,27	18,18,39
2017,2,7	18,23,59	18,44,13
2017,2,7	19,28,27	19,54,8
2017,2,7	20,2,12	21,23,4
2017,2,7	21,42,0	21,56,20
2017,2,8	7,46,16	9,3,18
2017,2,8	9,10,0	9,24,36
2017,2,8	9,40,32	9,57,25
2017,2,8	10,5,46	11,58,0
2017,2,8	15,5,13	15,28,24
2017,2,8	15,52,44	16,46,24
2017,2,8	17,55,16	18,42,5
2017,2,8	20,25,20	20,52,29
2017,2,8	20,53,0	21,16,34
2017,2,9	7,50,6	9,14,41
2017,2,9	9,30,0	9,59,44
2017,2,9	10,0,32	12,12,10
2017,2,9	14,42,55	15,8,38
2017,2,9	15,57,1	16,31,49
2017,2,9	16,51,11	17,35,18
2017,2,9	19,0,20	19,32,56
2017,2,9	21,6,37	21,30,12
2017,2,10	8,4,27	9,4,17
2017,2,10	9,23,35	11,36,5
2017,2,10	12,11,9	12,48,13
2017,2,10	14,4,13	14,30,23
2017,2,10	15,14,6	15,17,53
2017,2,10	15,38,34	16,55,20
2017,2,13	9,10,41	10,14,19
2017,2,13	10,29,51	11,20,34
2017,2,13	11,24,30	12,14,5
2017,2,13	13,45,10	14,7,55
2017,2,13	15,1,42	15,45,25
2017,2,13	16,13,19	16,36,6
2017,2,13	17,12,53	18,50,33
2017,2,13	19,1,52	19,19,8
2017,2,13	21,43,46	22,16,21
2017,2,14	8,1,37	9,29,42
2017,2,14	10,1,55	10,42,54
2017,2,14	11,18,0	12,32,9
2017,2,14	14,20,40	15,1,20
2017,2,14	16,16,49	18,23,38
2017,2,14	19,57,31	20,53,31
2017,2,14	21,7,32	22,4,34
2017,2,15	8,8,43	9,8,39
2017,2,15	9,32,6	9,54,29
2017,2,15	10,12,18	11,49,28
2017,2,15	12,15,22	12,26,8
2017,2,15	12,55,10	13,25,0
2017,2,15	15,12,28	15,16,40
2017,2,15	15,38,9	16,1,26
2017,2,15	16,57,7	17,44,54
2017,2,15	19,0,0	19,48,0
2017,2,15	21,07,0	22,0,0
2017,2,16	8,0,0	9,40,0
2017,2,16	10,5,7	10,48,19
2017,2,16	11,11,10	12,26,0
2017,2,16	14,35,10	14,58,38
2017,2,16	15,45,0	16,41,0
2017,2,16	17,27,26	18,54,21
2017,2,16	19,0,40	19,5,48
2017,2,17	8,3,6	9,19,16
2017,2,17	9,42,6	12,1,37
2017,2,17	12,52,10	13,25,31
2017,2,17	13,29,21	14,10,11
2017,2,17	15,1,47	15,12,27
2017,2,17	15,21,21	16,11,13
2017,2,17	16,13,41	16,56,54
2017,2,18	15,0,0	17,0,0
2017,2,19	11,0,0	11,35,0
2017,2,19	11,38,23	12,1,2
2017,2,19	12,32,6	13,10,20
2017,2,19	17,50,31	18,15,13
